,U_NODE_ID,V_NODE_ID,U_X,U_Y,V_X,V_Y,IS_NODE_U_DEPOT,IS_NODE_V_DEPOT,EDGE_WEIGHT,GLOBAL_RANK,U_NODE_LOCAL_EDGE_RANK,V_NODE_LOCAL_EDGE_RANK,LP_RELAXATION,FILE_NAME,U_NODE_DEMAND,V_NODE_DEMAND,U_NODE_DEMAND_CAPACITY_RATIO,V_NODE_DEMAND_CAPACITY_RATIO,AVERAGE_NODE_DEMAND_CAPACITY_RATIO,REDUCED_COST,NODE_U_EUC_DISTANCE_TO_NEAREST_CONVEX_HULL_VERTEX,NODE_V_EUC_DISTANCE_TO_NEAREST_CONVEX_HULL_VERTEX,CONVEX_HULL_EDGE_LENGTH,EDGE_WEIGHT_NON_NORMALISED,NODE_U_DIST_TO_CENTROID,NODE_V_DIST_TO_CENTROID,NODE_AVERAGE_DIST_TO_CENTROID,NODE_U_DIST_TO_DEPOT,NODE_V_DIST_TO_DEPOT,NODE_AVERAGE_DIST_TO_DEPOT,NODE_U_DIST_TO_NEAREST_NEIGHBOUR,NODE_V_DIST_TO_NEAREST_NEIGHBOUR,NODE_AVERAGE_DIST_TO_NEAREST_NEIGHBOUR,ANGLE_DEGREE_TO_DEPOT,U_NODE_DBSCAN,V_NODE_DBSCAN,AVERAGE_NODE_DBSCAN,IS_OPTIMAL_EDGE_PRUNE
0,1,2,40,40,22,22,1,0,0.5091168824543142,451,0.5091168824543142,0.5091168824543142,0.0,P-n50-k7.txt,0.0,0.36,0.0,0.0,0.0,0.38,0.0,0.0,0.0,25.45584412271571,25.56262310483805,26.0717260648389,1290.8587292419238,0.0,0.5091168824543142,12.727922061357855,0.0,0.0,0.0,0.0,0.0,0.02,0.01,1
1,1,3,40,40,36,26,1,0,0.2912043955712207,563,0.2912043955712207,0.2912043955712207,0.0,P-n50-k7.txt,0.0,0.52,0.0,0.0,0.0,0.18,0.0,0.0,0.0,14.560219778561038,25.56262310483805,25.81651603140904,1284.4784784061771,0.0,0.2912043955712207,7.280109889280518,0.0,0.0,0.0,0.0,0.0,0.04,0.02,1
2,1,4,40,40,21,45,1,0,0.39293765408777,520,0.39293765408777,0.39293765408777,0.0,P-n50-k7.txt,0.0,0.22,0.0,0.0,0.0,0.29,0.0,0.0,0.0,19.6468827043885,25.56262310483805,25.765358526517733,1283.1995407838945,0.0,0.39293765408777,9.82344135219425,0.0,0.0,0.0,0.0,0.0,0.06,0.03,1
3,1,5,40,40,45,35,1,0,0.1414213562373095,617,0.1414213562373095,0.1414213562373095,0.0,P-n50-k7.txt,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.071067811865476,25.56262310483805,25.561958062714996,1278.114529188826,0.0,0.1414213562373095,3.5355339059327378,0.0,0.0,0.0,0.0,0.0,0.08,0.04,1
4,1,6,40,40,55,20,1,0,0.5,456,0.5,0.5,0.0,P-n50-k7.txt,0.0,0.42,0.0,0.0,0.0,0.4,0.0,0.2009975124224178,0.0,25.0,25.56262310483805,25.634424120701443,1279.9261806384873,0.0,0.5,12.5,0.0,0.0,0.0,0.0,0.0,0.1,0.05,1
5,1,7,40,40,33,34,1,0,0.1843908891458577,606,0.1843908891458577,0.1843908891458577,0.0,P-n50-k7.txt,0.0,0.38,0.0,0.0,0.0,0.06,0.0,0.0,0.0,9.219544457292889,25.56262310483805,25.74657452943984,1282.729940856947,0.0,0.1843908891458577,4.609772228646444,0.0,0.0,0.0,0.0,0.0,0.12,0.06,1
6,1,8,40,40,50,50,1,0,0.282842712474619,567,0.282842712474619,0.282842712474619,0.0,P-n50-k7.txt,0.0,0.3,0.0,0.0,0.0,0.18,0.0,0.0,0.0,14.142135623730953,25.56262310483805,25.27978836936733,1271.0602868551346,0.0,0.282842712474619,7.071067811865476,0.0,0.0,0.0,0.0,0.0,0.14,0.07,1
7,1,9,40,40,55,45,1,0,0.3162277660168379,554,0.3162277660168379,0.3162277660168379,0.0,P-n50-k7.txt,0.0,0.32,0.0,0.0,0.0,0.2,0.0,0.2778488797889961,0.0,15.811388300841896,25.56262310483805,25.27911588643875,1271.04347478192,0.0,0.3162277660168379,7.905694150420948,0.0,0.0,0.0,0.0,0.0,0.16,0.08,1
8,1,10,40,40,26,59,1,0,0.4720169488482378,473,0.4720169488482378,0.4720169488482378,0.0,P-n50-k7.txt,0.0,0.58,0.0,0.0,0.0,0.39,0.0,0.0,0.0,23.600847442411894,25.56262310483805,25.499680390153912,1276.557587374799,0.0,0.4720169488482378,11.800423721205949,0.0,0.0,0.0,0.0,0.0,0.18,0.09,1
9,1,11,40,40,40,66,1,0,0.52,444,0.52,0.52,0.0,P-n50-k7.txt,0.0,0.52,0.0,0.0,0.0,0.42,0.0,0.0,0.0,26.0,25.56262310483805,25.200406742749216,1269.0757461896817,0.0,0.52,13.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,1
