,U_NODE_ID,V_NODE_ID,U_X,U_Y,V_X,V_Y,IS_DEPOT,IS_OPTIMAL_EDGE,EDGE_WEIGHT,GLOBAL_RANK,U_NODE_LOCAL_EDGE_RANK,V_NODE_LOCAL_EDGE_RANK,U_NODE_DEGREE,V_NODE_DEGREE,AVERAGE_NODE_DEGREE,IS_MST_EDGE,MST_U_DEGREE,MST_V_DEGREE,LP_RELAXATION,FILE_NAME,U_NODE_DEMAND,V_NODE_DEMAND,CAPACITY,NUM_OF_VEHICLES,U_NODE_DEMAND_CAPACITY_RATIO,V_NODE_DEMAND_CAPACITY_RATIO,REDUCED_COST,MST_WEIGHT
0,1,2,266,235,295,272,1,1,47.01063709417264,153,47.01063709417264,0.0,22,22,22.0,1,22,1,0.0,E-n23-k3.txt,0,125,4500,3,0.0,0.027777777777777776,38.895277407326304,47.01063709417264
1,1,3,266,235,301,258,1,0,41.88078318274385,169,41.88078318274385,15.231546211727817,22,22,22.0,1,22,1,0.0,E-n23-k3.txt,0,84,4500,3,0.0,0.018666666666666668,34.76459665786236,41.88078318274385
2,1,4,266,235,309,260,1,0,49.73932046178355,148,49.73932046178355,18.439088914585774,22,22,22.0,1,22,1,0.0,E-n23-k3.txt,0,60,4500,3,0.0,0.013333333333333334,48.60929573542971,49.73932046178355
3,1,5,266,235,217,274,1,0,62.625873247404705,109,62.625873247404705,78.02563681252464,22,22,22.0,1,22,1,0.0,E-n23-k3.txt,0,500,4500,3,0.0,0.1111111111111111,53.05337495064722,62.625873247404705
4,1,6,266,235,218,278,1,1,64.4437739428721,98,64.4437739428721,77.23341245859851,22,22,22.0,1,22,1,0.0,E-n23-k3.txt,0,300,4500,3,0.0,0.06666666666666667,52.56308165906874,64.4437739428721
5,1,7,266,235,282,267,1,1,35.77708763999664,183,35.77708763999664,13.92838827718412,22,22,22.0,1,22,1,0.0,E-n23-k3.txt,0,175,4500,3,0.0,0.03888888888888889,24.1156828552367,35.77708763999664
6,1,8,266,235,242,249,1,0,27.784887978899608,203,27.784887978899608,57.77542730261716,22,22,22.0,1,22,1,0.0,E-n23-k3.txt,0,350,4500,3,0.0,0.07777777777777778,18.21238968214212,27.784887978899608
7,1,9,266,235,230,262,1,0,45.0,158,45.0,65.76473218982953,22,22,22.0,1,22,1,0.0,E-n23-k3.txt,0,150,4500,3,0.0,0.03333333333333333,32.028052677484744,45.0
8,1,10,266,235,249,268,1,1,37.12142238654117,180,37.12142238654117,46.17358552246078,22,22,22.0,1,22,1,0.0,E-n23-k3.txt,0,1100,4500,3,0.0,0.24444444444444444,30.168510863885153,37.12142238654117
9,1,11,266,235,256,267,1,0,33.52610922848042,188,33.52610922848042,39.319206502675,22,22,22.0,1,22,1,0.0,E-n23-k3.txt,0,4100,4500,3,0.0,0.9111111111111111,33.40795293927096,33.52610922848042
10,1,12,266,235,265,257,1,1,22.02271554554524,215,22.02271554554524,33.54101966249684,22,22,22.0,1,22,1,0.0,E-n23-k3.txt,0,225,4500,3,0.0,0.05,13.961037406989158,22.02271554554524
